,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
36882,0.043351907,0.017632743,0.021048188,0.017379906,0.033502337,0.030835887,0.015470892,0.03790204,0.013555959,0.042926442,0.012027088,0.014433011,0.02624373,0.022243546,0.019177387,0.020615006,-0.008198947,0.042645857,0.02344952,0.03595762,0.01811677,0.022023512,-0.0074105337,0.012796375,0.022764638,-0.0001911178,0.015401173,-0.0028680882,0.07054478,0.028216472
36928,0.045943778,0.06972509,0.036317408,0.018835818,0.01848477,0.060201317,0.06969649,0.04511619,0.03858908,0.055935662,-0.0040142783,0.05428362,0.072924234,0.07839054,0.07970754,0.03585993,0.05943537,0.09456369,0.039197654,0.054479945,0.057347175,0.068556406,0.07645761,0.055808347,0.06365957,0.04840679,0.028873226,0.018617293,0.047587678,0.086467616
36929,0.09778869,0.04386382,0.042176966,0.06204459,0.039306287,0.07054854,0.09733891,0.06149672,0.10789019,0.12052121,0.0744418,0.098290734,0.11378334,0.106766574,0.103595175,0.069519706,0.09670194,0.0864501,0.08523785,0.052118998,0.07287553,0.07826986,0.06839269,0.0850464,0.06281814,0.06340657,0.086595155,0.07165531,0.07501507,0.10114034
36930,0.051952492,0.09134337,0.07826289,0.05311395,0.055417996,0.07343379,0.05512406,0.05351715,0.0749734,0.083176576,0.07988653,0.09548361,0.04613621,0.08499047,0.07123461,0.05638796,0.06459873,0.082700096,0.034957483,0.09375698,0.04153407,0.06448778,0.044182282,0.0799848,0.07699866,0.050537217,0.074566245,0.074097626,0.076738745,0.069359116
40469,0.050456613,0.023156645,0.019536456,0.024436971,0.018038265,-0.0037459135,0.017436758,-0.0003505405,0.010233723,0.026544867,-0.00043379143,0.0012327939,0.036804225,0.017380098,0.02468451,0.010199686,-0.009837467,0.015744362,0.030997371,0.0031649845,0.019434148,0.016334439,-0.02402538,0.0072809984,0.043498475,0.026930219,-0.0038283253,0.014808111,0.039027125,0.021001339
40470,0.015980355,0.02728722,0.013094901,0.01291236,0.014527329,0.009246874,0.01897608,0.016106803,-0.021248797,0.012240437,0.012338542,0.004385637,0.003784772,0.000119108394,0.0025020565,0.012258139,0.0071477387,0.0017563757,0.0142295165,-0.020780582,0.029379636,-0.019376263,-0.003612355,0.0060170908,0.012141063,0.005180293,0.0044795354,0.025080303,0.02238298,-0.00023671985
40504,0.02716943,0.06706486,0.009380792,0.010652519,0.0006632763,-0.0036252837,0.024323417,0.005739942,0.027069978,0.03284492,6.0605817e-05,0.035488192,0.003174778,0.026042843,0.038045067,0.027361698,-0.003970407,0.024616169,-0.0011314955,0.017805042,0.039517786,0.027327644,0.061117247,0.029579883,-0.003108926,0.042586327,0.008849002,0.01341574,0.042934686,0.034869563
40505,0.03608467,0.06159885,-0.0111997565,0.029095585,0.01707692,0.007701771,0.035839144,0.032241523,0.028787784,0.03170257,-0.01308442,0.025498068,0.014036405,0.0270233,0.03720905,0.028217146,0.0066364356,0.035262506,0.009679777,0.005364831,0.011814214,0.03143186,-0.009669307,0.017376643,0.011592157,0.017045705,0.008863128,0.000101766236,0.04096602,0.046679776
40506,0.0028715814,-0.019063292,0.0035438722,0.017652683,-0.031929836,-0.00042976812,0.0064959098,-0.0051670647,0.009812665,0.0071574915,0.010608685,0.01771649,0.00431913,-0.005661135,0.0018416144,-0.0118303895,-0.029303817,-0.01188261,0.004192306,-0.0029002263,-0.0031757199,-0.020296378,-0.021304442,0.010530042,0.014552341,-0.025540082,0.009274972,0.0029928961,0.0124112265,0.014875499
40545,-0.005798386,0.0077195265,0.022358825,-0.023131147,0.017769001,-0.0015493669,-0.025060115,0.004788116,0.006360917,0.008936323,0.014564391,0.032985326,0.025145873,0.003796244,-0.018041609,0.0020417694,-0.011420183,0.020918665,0.030034894,0.014301167,0.018544802,0.0054615787,-0.0035560671,0.015051265,0.007827808,0.014465586,-0.028059393,0.01292637,0.01671389,0.018614292
