,bee,cat,squirrel,ant,goat,raccoon,frog,kangaroo,leopard,fish,camel,penguin,giraffe,horse,zebra,alligator,rabbit,lion,cow,tiger,elephant,sheep,turtle,dog,rhinoceros,donkey,monkey,bear,bird,deer
82714,-0.00023891295,0.03377227,0.033633944,0.047800306,0.041824877,0.021429515,0.006905802,0.03903858,0.05700049,-0.0010349782,0.03536134,0.040338244,0.027376495,0.075173624,0.0335218,0.026650196,0.015903806,0.062178414,0.012870985,0.05067947,0.04886769,0.04478057,0.008337781,0.0052994885,0.024957769,0.035526086,0.02928335,0.017757777,0.029635407,0.015512049
82715,0.017141083,-0.008430402,0.023584774,-0.00174304,0.002146053,0.04609795,-0.00074941944,-0.015420836,0.051004574,0.043424327,0.0082244305,-0.0022555927,0.011636785,0.026076503,0.046978444,0.0030328743,0.025561562,0.021985821,0.03051219,0.020448633,0.020589301,0.017283138,0.023606056,0.0063373484,0.008435005,-0.001961433,0.006877827,0.00460343,0.014262334,-0.0073166587
82741,0.006708902,0.010133623,0.010259717,0.024676638,0.018322319,0.022926174,-0.002719228,0.026562914,0.03539316,-0.010780919,0.036819924,0.031270273,0.029335687,0.0011442549,0.040960103,0.019096075,0.034912087,0.029363887,-0.005669988,0.015201892,-0.0018747337,0.00339868,0.021660203,-0.0059751556,0.0015864238,-0.0020902827,0.02905958,0.00337273,0.00036718696,-0.0063394853
82742,0.014983027,0.040079426,0.05389546,-0.012477484,0.06719711,0.040962394,0.028799273,0.0769485,0.050605554,0.03520072,0.03811576,0.025218392,0.057793085,0.010470959,0.04961294,0.04158953,0.027884038,0.04916379,0.04569957,0.02411659,0.01874303,0.038919237,0.05158049,0.036845062,0.051116403,-0.0031931985,0.05519876,0.031436488,0.037704688,0.04312701
82804,0.016016625,0.006887021,-0.011773944,0.02630306,0.014999479,-0.0063554756,-0.018719839,-0.0015254036,0.007663017,-0.029712535,-0.02314727,0.008019759,0.0060395948,-0.010901035,0.0338207,0.010626796,0.006025832,0.016343841,0.0017681286,0.021494448,-0.010249686,0.017869344,0.007727256,-0.005083763,-0.018599289,0.01747665,-0.00862188,-0.00062828575,-0.00602811,0.0028975352
82805,-0.0211061,-0.031681363,0.0003352027,0.016957516,-0.025342284,-0.01826946,-0.018737195,0.020322824,0.005469167,-0.011282626,0.00093708374,-0.020526437,-0.0045931735,-0.015487361,-0.0055282586,0.008725243,0.025062075,-0.009514806,0.021230208,0.030752964,-0.01128449,0.01110765,-0.03052357,-0.007191831,0.011618644,0.036680385,-0.010111914,-0.008929685,0.016467936,-0.02090164
82806,0.01063751,-0.014031128,0.03384604,0.00448907,-0.0114105595,-0.016311428,0.0017275439,0.01557111,0.061798796,0.017545855,0.0007630629,0.00945223,-0.01422502,-0.008393039,-0.017962817,0.009101742,0.012067966,0.0063472656,-0.016918639,0.056508157,0.0039999136,-0.010358385,-0.020260824,0.021797456,0.0026220614,0.002759476,-0.023214338,-0.0014053768,0.024164833,0.014179285
82838,-0.01674691,-0.006507168,0.019064635,0.02309685,0.015578289,-0.00077902776,-0.02001519,0.009536407,0.046297412,0.013679075,-0.0122239115,0.00044461698,-0.00031707683,0.005436722,0.022598857,0.016388135,0.017797334,0.050768185,0.026530998,0.0054992884,0.009188911,-0.018964836,0.043385476,0.031993438,-0.008873202,0.044207692,0.024338894,0.021554403,0.024283603,0.0235762
82839,-0.0077818553,0.029945755,0.019959373,0.024151536,-0.010588269,0.032271545,-0.02189062,0.030884119,0.051132616,0.008144046,0.004284768,0.0072467583,-0.0059511657,-0.009067879,0.05344804,0.00067110144,0.010281079,0.05731565,0.0059672114,0.05461846,0.029569382,-0.012438736,0.033670638,-0.003031861,-0.0020703606,0.030450197,0.00034063123,0.022778595,0.0007307157,0.017461166
82875,-0.0070344727,-0.0029861098,0.0028242096,0.018619629,-0.0073657054,0.027131608,-0.01273672,0.050290465,0.031105094,-0.030199641,-0.010186974,0.0080841305,0.017001765,0.0028278267,0.009095823,0.026660375,-0.011907738,-0.0069010793,0.0053952155,-0.0039848657,-0.0070030633,-0.004551862,-0.004232097,-0.0031306315,0.0057571256,0.016110577,0.023335524,-0.009122831,-0.018690841,0.01778343
82876,-0.016799709,-0.0046571265,-0.0007586293,-0.010392905,-0.00447576,0.007970453,0.003280611,0.010717679,0.0347513,-0.011866706,-0.0068513453,-0.0124422535,-0.0032720398,0.015407161,0.012338355,0.0024138635,-0.009206094,0.016223194,-0.005430753,-0.009274348,-0.017429175,-0.014286607,0.0008751682,0.008712036,-0.01634034,-0.006632837,0.021372864,-0.015586961,-0.0021648658,0.012358759
87207,-0.0028306434,0.0348308,0.06907151,0.06892601,-0.020742865,0.09956661,0.011739019,0.03354986,0.113829054,0.04883486,0.034688994,-0.04514542,0.040370207,0.0885706,0.09970266,0.07560108,0.060147677,0.10100007,0.04590224,0.10218227,0.10625138,0.09197412,0.054925982,0.061152477,0.052968223,0.071812235,0.06352231,0.078073256,0.056546066,0.050192583
87208,0.021539746,0.01855302,0.0766018,0.07102559,0.011223112,0.040497977,0.01650221,0.051097777,0.11547014,0.04573348,0.050721306,-0.019116705,0.04199488,0.060859602,0.10976017,0.09644445,0.06233957,0.08605713,0.07211761,0.070765465,0.07483335,0.08852746,0.08287663,0.066392906,0.0057010283,0.034137588,0.07482506,0.05588594,0.07353582,0.033772457
