,squirrel,zebra,kangaroo,desk,bottle,turtle,bee,chair,sheep,knife,horse,monkey,donkey,elephant,bus,couch,alligator,camel,fish,hammer,scissors,guitar,shoe,cow,cat,penguin,banana,bear,brush,rhinoceros,bird,raccoon,ant,microscope,kite,rabbit,trumpet,umbrella,dog,axe,piano,frog,tiger,leopard,boat,goat,deer,lion,giraffe
12424,-0.04047737,-0.026209788,-0.029817991,-0.009918793,0.02737358,0.027194029,-0.005707404,0.024480822,0.008670809,0.03061183,0.036934134,-0.0056153275,0.002669975,0.0016181193,-0.017583596,0.019209137,0.03695635,0.042224426,0.010946542,0.074751675,0.01785446,0.003922843,0.03382436,-0.02352597,0.0007285296,0.016133912,0.0048267622,0.012954652,0.047999486,0.035113584,0.01859515,0.023952099,0.013793585,-0.0090990225,0.008202006,-0.001250042,0.015450582,0.03416125,0.014285593,0.03942344,0.01949284,0.009831589,0.014534027,-0.0035001412,0.021146802,-0.0071292617,-0.000742048,0.0029168923,-0.02419196
12425,-0.017438907,0.0048833643,-0.04008579,0.001858037,0.019733982,0.0035609063,0.007373448,-0.003578537,-0.0408908,0.0016162057,0.010196063,0.027355777,0.0005360343,-0.004566415,-0.024925916,-0.015323833,0.011261787,0.025011474,0.0030118506,-0.004957773,0.011510178,0.010355905,-0.0058502466,-0.01034089,-0.022781074,0.022691598,-0.001413933,0.012560089,0.027565887,-0.008348553,0.0025530919,-0.032234445,-0.0068179215,0.019227987,-0.011740726,0.007357775,-0.013991434,0.018198665,-0.022841893,0.025986293,-0.019394858,0.008487802,0.028522199,-0.047498185,-0.0020857928,-0.015006095,-0.0057620327,0.01079557,0.0135815265
12426,0.022506958,0.016844044,-0.04840039,0.0070878603,-0.011283194,0.0089361295,0.017109366,-0.024101006,-0.0116407275,-0.036217008,-0.0011447793,0.0048249247,0.015850136,0.012716025,0.01585407,-0.0009256564,0.010279096,0.0007322195,-0.00456995,0.019838288,0.016974686,0.016577413,0.0015103095,-0.0014228594,0.008882832,0.02258224,-0.0076737204,-0.0044725477,0.031741206,0.008434408,-0.025821745,-0.017043995,-0.01614209,0.016860817,-0.007496091,0.012382998,0.018984722,0.013430129,-0.0062349555,0.03097239,-0.010280455,0.007348262,0.03449816,-0.031834524,-0.00476372,-0.018286249,-0.00066411245,0.012352155,-0.008265631
12427,-0.0057622343,-0.020555615,-0.010889749,0.028486043,-0.022107696,0.017030545,0.018517148,0.042748373,0.01429535,-0.0054659992,-0.016421316,0.011038244,0.041119352,-0.009270077,-0.009590092,0.021082101,0.010601041,0.018509774,0.0048582703,0.015170624,0.019705039,0.009859819,-0.010056241,0.021792486,-0.0032821626,0.0041806106,0.010519814,-0.013801403,0.018427499,0.030945672,-0.0025448203,0.03539481,0.015860302,-0.0022053274,-0.0007671428,-0.0054157586,0.0131266825,0.0034597747,-0.015754802,0.000106735,-0.0008769042,0.022278091,0.023403266,-0.008633873,-0.005021326,0.0036034454,0.013040461,0.005857775,-0.023363605
12451,-0.043603983,-0.01112888,0.014527656,0.020942492,0.019152015,0.04668026,-0.011587991,-0.019987779,0.006471979,0.009497752,0.0011850198,-0.003704881,-0.003058424,-0.022048377,0.0130217485,0.030985504,0.011965264,0.024918651,0.012156549,0.020461826,-0.022227565,0.026616333,0.016593672,-0.020241274,-0.014200936,-0.018378243,0.0017232265,0.002863532,0.017768215,0.006966178,0.0024007761,0.020772632,-0.00418012,0.025761485,0.001751881,-0.0033842577,0.0076233004,-0.01152132,-0.013820001,0.0070186057,-0.013834484,-0.013112458,-0.0143217975,-0.0027342408,0.02392938,0.0076185516,0.016466798,-0.031509534,-0.017483162
12452,0.026755264,-0.034433782,-0.006012202,-0.008438046,0.046962295,0.023369985,-0.006129658,-0.009597734,-0.0148783745,0.0050535263,0.016081832,0.009946103,-0.007876686,-0.028326953,-0.04312178,0.028050376,0.030056119,0.039691374,0.019573255,0.012569974,0.0033322636,-0.029933387,0.057575326,-0.011473324,0.008360922,0.026149603,0.020769754,0.018556444,0.047256023,-0.007251224,-0.0055413325,0.04210161,0.059986603,0.003813725,0.010839428,0.012901486,0.0068097883,0.0012472324,0.014348081,0.0036344503,0.025923202,6.499669e-05,-0.008869558,-0.00843756,0.0071313377,0.006389676,0.03946803,0.0014915975,-0.017309414
12453,-0.022333669,-0.03433002,-0.046567604,0.037142664,-0.017294312,0.04322043,-0.0063710045,0.05110416,0.012938122,0.028419398,-0.0003233822,-0.0014356658,0.0008393582,0.015646078,-0.03380101,0.0019516322,0.04333639,0.02576086,0.0025818618,0.04841928,0.025661752,-0.007819507,0.07920917,-0.030236095,-0.005517172,0.021043608,0.010693915,-0.011259373,0.031453077,-0.011370444,-0.0071182023,0.005199523,0.010556246,0.001989511,0.01642174,0.021789469,0.0041460902,0.02447208,-0.017409852,0.03877121,0.029654138,0.007640718,0.024328934,0.038242307,0.026872898,-0.007584048,0.0029964137,-0.02781002,-0.02277425
12454,-0.023355661,-0.0015414521,-0.025247797,-0.0126798935,-0.029904371,-0.013470568,0.021063551,-0.024346717,0.00350733,0.042254034,-0.005069274,-0.01324553,-0.017347254,0.030198002,-0.02745536,0.002747591,0.023206532,-0.002265151,-0.017882721,0.036426846,0.02370586,-0.013563571,0.02794738,-0.022574216,-0.0057480247,0.009234243,-0.0012171605,-0.012094001,0.023574598,0.01385412,0.008705807,-0.0014230494,0.0270912,0.011962817,-0.0057945526,0.011687887,0.010628262,0.021365283,0.00047784424,0.046292756,-0.002680067,-0.014336381,-0.012338395,-0.00095022283,0.011346788,-0.016858142,0.011288448,0.006238351,-0.022030167
12455,-0.017721968,-0.002758217,-0.023208613,0.01310375,-0.017267244,0.0016819555,0.020655189,-0.04168309,0.0019709347,-0.059277993,-0.012806575,0.0054898434,-0.013385165,-0.0018463187,-0.01214256,0.048806533,0.0024200545,-0.011512375,0.0086429175,-0.0049484787,-0.0014894357,0.002924369,0.01955657,-0.0073351017,0.025729261,-0.016890666,-0.0020899677,-0.018025331,0.011905174,0.01591405,0.0057275263,0.023667246,-0.004103481,0.026876034,0.005136046,-0.015817188,0.0047797733,0.008547734,-0.007132176,0.0071723275,-0.0024609815,0.03193779,0.010947919,0.013557407,-0.010867874,0.014500315,-0.00036846474,-0.017412776,-0.008298022
12456,0.033928916,0.004846814,-0.0052558016,-0.010775606,0.007263798,0.008287776,0.016700342,0.009031651,0.01591519,-0.003151254,0.017456038,-0.007313428,0.010094569,-0.0030397337,0.014847553,-0.011092275,0.021806596,0.028517844,-0.027544653,0.003034978,0.005032964,0.01506174,0.025686933,0.02216495,-0.0064187236,0.036233664,-0.009377015,0.0011563757,0.008041995,-0.013464641,-0.008934957,-0.0071621076,-0.0089333085,-0.0069045112,-0.020743968,0.016752625,0.003617325,-0.011580866,-0.005822696,0.010346803,-0.01558618,-0.0054522897,0.0160147,0.0029222944,0.013411581,0.04914153,-0.003456739,0.011726551,-6.653337e-05
