,donkey,horse,bear,sheep,rabbit,elephant,goat,frog,tiger,dog,cat,lion,turtle,monkey,raccoon,cow,giraffe,fish,alligator,zebra,deer,squirrel,kangaroo,leopard,bee,ant,camel,bird,penguin,rhinoceros
12527,0.005469931,-0.001763536,-0.023054682,-0.015558172,-0.01899452,0.029245354,0.014592655,-0.02672396,0.01351672,-0.0069543156,-0.008378214,-0.011341301,0.010083573,-0.0165701,0.009030659,-0.008689307,-0.04244115,-0.015566815,-0.0013943625,-0.0012112004,0.026948428,-0.021785205,-0.031093156,-0.0014004832,-0.012157979,-4.3514497e-06,0.01137543,-0.023217335,-0.020047488,0.0056912364
12567,-0.00884382,0.02245563,0.01100713,0.02104337,-0.009161726,-0.0162686,0.050706025,0.014418005,-0.031199442,0.0005096998,-0.00998074,0.0054004625,0.015191894,0.0012608365,0.0014682723,0.007356142,0.010467053,0.0043995907,0.0063495305,-0.035031315,0.0058303536,-0.012539011,0.007999117,0.007432142,-0.013267755,-0.018711848,0.02917067,0.03662319,0.012175031,-0.006626031
12568,0.00090996124,0.0036025706,-0.028687483,0.010586617,0.0070620715,-0.0008357884,9.2330076e-05,-0.02018431,-0.032326426,0.02477169,0.010451441,0.016595783,-0.00014912461,-0.0066017807,-0.01641001,0.004421132,-0.0025921986,-0.00428376,0.01524171,-0.016968131,0.0015313603,-0.010811622,0.01398661,-0.01568571,-0.011044044,-0.0041447915,-0.020503527,-0.015965946,0.004050098,-0.02991537
12569,-0.003747855,-0.0078773545,-0.0119952215,-0.02618754,0.012634188,0.002946093,-0.008075315,-0.005679012,0.0015022048,-0.023474336,-0.002065989,0.023711018,0.0005589736,-0.019749872,-0.011883681,0.013235961,-0.012544767,0.012836154,0.011267071,-0.0037042869,0.0023433212,-0.01605239,-0.02404301,-0.013633479,-0.014136429,0.032366198,-0.0036116808,0.008117282,-0.0061944746,0.008326344
12795,-0.0023583632,0.019200468,-0.010333036,-0.026141522,-0.009949462,0.023351977,0.015339191,0.010357513,0.020231687,0.050270822,-0.024575591,0.009211406,0.0038832359,0.028344808,-0.013170828,0.029659329,-0.03208558,0.01305133,0.024685064,0.0054028654,-0.030845018,0.038400557,-0.014832293,-0.008812086,0.041543152,0.014349897,0.029200016,0.004722239,0.0265015,0.0054765544
12845,0.0020334243,0.011943262,0.0043838504,-0.031020684,-0.007977997,0.04010426,0.0044653583,0.021213824,0.020728908,0.050857693,-0.029357465,0.0052628997,-0.003842661,0.025188297,0.007405836,0.031167641,-0.047498316,-0.0013587823,0.01740574,-0.027481511,-0.004349256,0.022659415,-0.005964091,0.012639581,0.018105732,0.04268396,0.019017722,0.009583595,-0.014528394,0.012950752
14928,-0.00036320556,0.017677031,-0.00102595,-0.015769603,-0.0010371589,0.043611567,0.021522284,0.033157557,0.003965026,0.049387723,-0.009156089,0.03466159,-0.014884487,0.025724595,0.038308438,0.030006764,0.0123507185,0.01189795,0.049593877,-0.023273893,0.016614625,-0.0071818624,-0.007139979,6.4793974e-05,0.0137477,0.038316492,0.023391178,-0.014999273,0.013425835,-0.026931422
14929,-0.038692098,0.052990805,0.04455628,-0.043092232,0.009151614,0.038253073,0.051121753,0.024717668,0.021321818,0.06314123,0.012648727,0.036809843,-0.001237141,0.029188707,0.0065703862,0.008525862,-0.0085065225,0.03684911,0.04465356,0.019602561,0.037169103,-0.013038323,-0.012006412,0.02129965,0.021951476,0.046412885,-0.0057464032,0.031624246,-0.0053835823,-0.0062536485
14951,-0.012316536,-0.0007177189,-0.013645407,-0.04138159,0.004627801,-0.0006883011,0.011777167,0.008565889,0.0073574856,-0.034153275,0.019782787,-0.039635126,0.015166176,-0.02873396,-0.0036298602,-0.012667529,-0.008617862,0.020200746,0.032216895,0.0042981477,-0.040905267,0.0099028945,-0.001215972,-9.958012e-05,-0.06359301,0.0009674163,0.05880925,-0.020069033,0.04703571,0.01794789
14952,-0.03592911,0.053444874,0.032823954,-0.0070420518,0.022455258,0.04897527,0.029389037,0.026118264,0.011559971,0.034552474,0.032096375,0.007313946,0.016172232,0.0126535185,0.027488418,-0.012535475,-0.0351299,0.04524298,0.03561527,-0.011648261,0.04028161,-0.004887242,-0.005980391,0.011880369,0.01769382,0.056607235,0.06808504,-0.0019202059,0.03485865,0.025881222
14953,-0.0066090343,0.05408905,0.038212467,0.004947822,0.026902484,0.05950353,0.040235754,0.020594569,0.020887887,0.021410758,0.02845525,0.023640878,0.010172459,0.030648673,0.0401675,-0.006994938,-0.038482744,0.03504645,0.03282742,-0.013566793,0.043497056,-0.0040375763,-0.016091019,0.009238564,0.016684487,0.08103839,0.053806424,-0.014534301,0.029373983,0.020418035
14980,0.008053619,-0.022040876,-0.027035467,-0.018940011,-0.0015790438,-0.04595853,-0.034531932,-0.0073177274,-0.032847818,-0.022745172,-0.009722446,-0.029424764,0.011477946,-0.03129092,-0.0019077313,0.014174075,0.03910974,-0.03169543,-0.02200412,-0.024333462,-0.040604655,0.004511053,-0.03035436,0.0031198822,-0.04286079,-0.051556364,-0.03277269,-0.026879301,0.032454852,0.011995801
