,cat,camel,bird,giraffe,monkey,donkey,kangaroo,rhinoceros,elephant,raccoon,horse,cow,leopard,rabbit,goat,lion,turtle,zebra,dog,frog,sheep,tiger,ant,alligator,deer,penguin,bear,squirrel,fish,bee
208575,0.010593195,0.005283466,-0.021408489,0.009768826,-0.012446533,0.02497565,0.020839253,0.028665164,0.0041167014,0.02503007,0.0042234003,0.029327817,0.0315835,0.007850995,0.0332059,0.018193321,0.014872058,-0.003367326,0.017743701,0.014186193,-0.0074833687,0.016097313,-0.0111329155,-0.0011598412,0.02512169,0.026263496,0.008750381,-0.0064092744,-0.004935339,-0.012633705
208576,-0.00011047566,0.011162433,-0.006898207,0.0064857583,-0.00061390427,-0.010563045,0.02398256,-0.0037885767,0.064112075,0.02301534,0.021341195,0.020357886,0.01537406,-0.004576806,0.00038758665,0.004091121,0.008069523,0.008758859,0.039378446,0.0153921135,-0.0024493847,0.045536563,-0.016303765,7.234095e-05,0.025522685,0.019134214,0.026970034,0.0053059366,0.013121155,-0.0017627254
208628,0.01456437,0.01876228,0.0007175305,0.01563044,0.0051721483,0.0015341028,-0.010572714,0.037023056,0.04166543,0.010316706,0.0017764783,0.028609812,0.0014366143,0.012363371,-0.010203682,0.015482021,0.018055148,0.025961483,0.039168164,0.03655449,0.005735038,-0.0060045817,-0.009402259,-0.022621676,-0.0023969486,0.020070395,0.022136679,0.022312164,0.016834961,0.024006598
211159,-0.018661313,0.014055769,-0.014081593,0.01641553,0.0029176984,0.02297362,0.0062321126,0.046981066,-0.012085353,-0.004697567,0.003403442,-0.015873568,0.03191409,-0.008734734,-0.021869717,-0.009300405,0.010544873,0.0065207924,-0.0062196865,0.016152678,0.0010488617,-0.04822204,-0.007844202,0.018165963,-0.0018022731,0.014509708,-0.035581928,0.016030682,0.040208053,-0.0039224424
211160,0.01015652,0.006040007,0.029055374,-0.004600763,0.017324805,-0.009319886,0.0073431083,-0.017207583,0.022716353,-0.009890005,-0.004170477,0.01301201,0.014387313,0.01516861,0.007101597,-0.0026460309,0.0044898205,-0.018627077,0.052138437,0.009770532,-0.01977084,0.013033922,0.009291231,-0.012602866,-0.025157198,-0.00593192,-0.027651256,0.0051098224,0.00963552,-0.010295668
211161,0.0006200835,-0.00850254,0.009897639,-0.028539723,0.0063262545,-0.015044834,-0.03295572,0.015226365,0.006075649,-0.00895574,0.011048592,-0.0057769814,0.009590532,0.01224126,-0.0025577464,0.037797403,0.0038677596,-0.0019514723,-0.013487048,-0.03624456,0.004767286,-0.022161402,-0.037689745,0.00097455323,-0.009310601,-0.0072193723,0.00519992,-0.015415903,0.009130866,-0.014891975
211209,0.02293796,0.03688001,0.015893962,0.023507772,0.007049995,0.008412016,-0.013765968,0.030027466,-0.005519869,0.0107935,-0.00556167,-0.018920252,-0.03268735,-0.0011574611,0.00895582,0.0015854029,0.03194837,0.001507793,0.022795394,-0.01125496,0.031852882,0.0058883377,0.0004989817,-0.01091633,-0.009161375,-0.027080163,0.016689412,-0.045789484,0.019828549,0.010468598
211210,0.022690458,0.009259899,-0.019343872,0.031682312,0.011805822,0.01565435,0.028946774,-0.0005465145,0.014093106,0.025072232,0.0039315466,0.008762731,0.016881935,-0.01350933,0.030474216,-0.00014983428,0.006490393,0.003856453,0.0583685,-0.0024173076,0.033968102,0.023591094,0.009392084,0.003001512,-0.0067250878,0.0017524436,0.009938617,0.026825374,0.034344632,-0.02131092
211211,0.022861242,0.00039353655,-0.025754279,6.2556624e-05,0.01287923,-0.014018337,-0.0010746686,-0.015997492,0.016268479,0.027423868,-0.0016961158,0.028061286,0.023448803,0.02888579,0.0062668,0.010047673,0.017817862,-0.00823052,0.045398016,0.009562791,0.021026552,0.006403389,-0.039651405,-0.0009160498,-0.013602565,-0.023860766,-0.0100135105,-0.003937593,0.011718441,0.008336888
211212,0.013754784,0.021698212,-0.008539277,0.0038126453,0.018409075,-0.014034766,0.0020915854,-0.01407053,0.034939986,0.054562364,-0.001677754,-0.0038530647,0.0027990055,0.00758562,0.008647745,-0.009887389,-0.014061266,0.0057123527,0.023424072,-0.0065170303,0.0074749985,0.021650717,-0.037851077,-0.010265686,-0.032779105,-0.02199095,0.0033615252,-0.022707568,-0.03286847,0.023995198
