,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
3928,-0.023595676,0.0018839316,-0.028778171,-0.00726553,0.005999118,0.0030249606,-0.019106349,0.02879013,0.003951788,0.0006480552,-0.0127437925,0.036493827,0.008105278,0.0073820134,0.028180303,0.007722067,0.005307698,-0.0013638325,0.0224823,0.037780117,-0.004074911,0.011038396,0.017579021,3.9866194e-05,-0.009661474,0.026828615,0.0068843267,0.0059740567,-0.006795826,0.02318999
3929,-0.014924504,-0.019768288,-0.012627053,-0.01626251,0.03859315,0.018552208,-0.0045475415,0.008200624,-0.00041489676,-0.021532932,-0.02265574,0.017217292,-0.0075947735,-0.0049568634,0.024441563,0.016580174,-0.042416465,0.010153295,0.0056054555,0.016646476,0.006975346,0.0012728219,0.009535786,-0.000505489,-0.027010843,-0.01274155,-0.0035377268,0.013239554,-0.006249655,-0.011894931
3960,-0.016744208,-0.02817347,0.016225161,-0.010519899,-0.0051126117,-0.010614,0.011158996,0.023434281,0.004622279,-0.03726095,0.029491879,-0.0076144747,-0.00011504284,-0.035785463,0.003644933,-0.013756995,0.024865791,0.003397941,-0.0032929517,0.01983128,-0.03342202,0.008492372,-0.021839945,-0.013748601,-0.023071676,0.027991168,-0.0016627492,0.014330587,-0.0009948085,-0.006436443
3961,0.010151007,-0.01739263,0.01856072,-0.023046307,-0.014797959,0.01401692,-0.0017821757,0.019234315,0.01104797,0.0064532734,0.01843152,0.025652772,-0.014167489,0.00045721544,-0.0017388394,0.0065477476,0.001945197,0.0028632006,-0.007853646,0.0063661058,0.0092349425,-0.007898527,0.02142956,-0.003993213,0.026820675,0.01705572,-0.01695858,0.0032725707,-0.02900344,-0.012209895
3962,0.012606614,0.008747509,0.013908214,-0.014952286,-0.0013900162,0.027442649,0.013740043,0.002021134,0.029503902,-0.010253121,0.01077072,-0.003946808,-0.005608231,0.016816055,-0.0022196898,0.0057133227,0.014366874,-0.008182121,-0.0013337837,-0.00012584247,0.0067464057,0.011755221,0.017386345,0.0030563155,-0.004517565,0.018165687,0.020021288,0.011158298,-0.023690814,-0.017886275
3963,-0.008693355,0.021889111,-0.052966755,-0.04358873,0.009343281,0.043403413,-0.0041363873,0.01680992,0.02150315,-0.009047716,0.028120937,-0.007852425,-0.013689735,-0.016805576,0.024474002,0.027535096,-0.013969127,-0.002089594,0.0005623074,-0.0053315535,0.005993945,-0.0030274757,-0.011882077,-0.0055081174,-0.010890596,-0.0013916086,0.0031022101,0.0053186775,-0.0056049847,-0.0280244
3996,0.028634943,-0.0037753147,0.0069097313,-0.031764973,0.008748648,0.010892361,-0.030392984,-0.004847432,-0.04723389,-0.0007970575,-0.0071951174,-0.025611728,0.0022674967,-0.010817495,0.017650807,-0.020306183,0.050653543,0.025590962,-0.008704815,-0.033745334,0.011567195,0.0052042077,-0.0010839797,-0.015321885,0.007698748,0.009288311,0.0029274307,-0.014799834,-0.023077356,-0.02191493
3997,-0.016663088,0.028816095,-0.01110378,-0.0287065,0.0013248883,0.02082694,-0.02015124,0.017178748,0.035023488,-0.003603244,0.016660279,-0.0074833273,0.0038507823,-0.0036404997,-0.00402651,-0.013366873,-0.018305447,0.00474453,-0.031983066,0.006751112,-0.023716057,0.011738505,0.027437354,-0.003463488,0.005535206,0.00082005124,-0.020736376,-0.022680806,-0.014429857,0.0011872817
3998,0.0077807535,0.0029582202,-0.013432595,-0.017162928,0.01962742,0.020733332,0.013693657,0.028101863,0.04023769,-0.00041173727,0.016035877,0.04140928,0.014238122,0.020375611,0.03856309,0.0133465575,0.013434463,-0.03099787,-0.0017827464,0.02736421,0.0059581026,0.01639876,-0.0074044974,-0.027671972,0.026168965,0.02720108,0.009858757,0.023540953,0.040447988,0.0019785478
3999,0.02187346,-0.0025211284,0.00010126891,-0.008985263,0.0030527439,0.0028835062,-0.022715837,0.0061562858,0.060554404,0.022762047,0.0069139306,0.016735915,-0.006639702,-0.015944907,-0.008183326,0.02490931,-0.02078134,-0.013219449,0.018070363,0.009361888,0.0067628995,0.004692524,0.0035068907,0.03279903,0.017659562,-0.02098144,-0.027739994,0.0061558676,-0.0012551263,0.0055932514
