,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
39813,-0.021253368,-0.01793976,0.0047514546,-0.0133890705,0.0036604803,0.001612364,-0.006939977,-0.018706085,-0.0010988672,-0.013548109,-0.010970261,0.005296645,-0.03464915,-0.0011556726,-0.010442913,-0.019858243,-0.032850202,-0.033837527,0.008681844,0.00389146,-0.013483186,-0.000532757,0.013433094,0.0042355172,-0.016486894,-0.0109555675,-0.014878579,-0.009331676,-0.005709626,-0.00018806546
43530,0.0066752792,-0.025540618,-0.015009294,0.02263157,0.003976751,0.027852597,-0.00873487,0.029505985,0.016869789,-0.007362023,-0.003001625,-0.0060314727,0.01803962,-0.0068013743,0.016864141,-0.0044182395,0.022559969,-9.117151e-05,-0.02428454,-0.0040102755,0.002871751,-0.00029596375,-0.0058753756,0.0008403125,0.027352057,-0.00024354,0.03387436,0.009761309,0.03922903,-0.02743456
43575,0.020982208,0.007694086,0.0043377345,0.01993944,0.04426242,0.037842706,0.040048476,0.0182358,0.014235787,0.030631451,-0.008421577,3.5260495e-05,-0.011576795,0.0132545335,0.029667145,0.026887486,0.018568756,0.0278873,0.028595114,0.015658097,0.021332225,0.011253641,0.017202672,0.014487882,0.012707961,0.011452764,0.010351128,-0.000633819,0.029274642,-0.015900059
43576,0.048246592,0.037377305,0.017011937,0.023912085,0.026478978,0.06769812,0.076502405,0.019464334,0.002719031,0.036227193,0.0060584955,0.031814158,0.02087112,0.029416082,0.034790453,0.010208463,0.04441687,0.03793711,0.00992092,0.031320166,0.035355195,0.021178707,0.025527025,0.0361875,0.031529885,0.061786145,0.03565758,0.0040300917,0.046334084,-0.016912175
43577,0.029683145,0.0457622,-0.000473298,0.021149749,0.0056157536,0.07167145,0.070996016,0.018727569,0.053346273,0.04175678,-0.001297084,0.046543334,0.05044858,0.035150047,0.04178986,-0.0059555396,0.04748973,0.016966255,0.015659165,0.055919487,0.032959957,0.044512928,0.043947298,0.02738615,0.023042588,0.045243468,0.065456964,0.0018513538,0.05248119,-0.00063232396
43616,-0.009231746,-0.00796204,-0.0024569023,-0.03398059,0.01837314,0.035233546,0.008629849,0.0033217631,0.012234916,-0.0147776855,0.001046335,0.03922939,-0.0028447036,0.0094010355,0.0021473449,0.05155973,-0.014811312,0.02087175,-0.011059086,0.021584375,0.0147654405,-0.0124226315,0.01055826,0.034785077,-0.01669427,-0.0029979434,0.029188907,0.0013066133,0.0074081183,0.0068586883
43617,-0.0044802697,0.018699154,-0.005943228,-0.018221566,0.017632375,-0.004941661,0.014027295,0.0048790704,0.012615596,0.006872905,-0.006769739,0.036584098,-0.019867847,0.017614005,0.029819833,0.019241583,0.005370021,-0.0073121786,0.031274427,-0.009439196,-0.00898489,-0.0123572545,-0.024794713,0.009066674,-0.0048912466,0.016938832,0.021143928,-0.03150967,0.015066259,-0.035703555
43618,0.010965261,0.01297406,-0.014104359,0.010430952,0.002461089,0.007050713,0.014873532,0.0119573055,0.009483887,0.010541302,-0.030020097,0.023642652,-0.0033959933,0.0015152724,-0.001983247,-0.03232136,0.0051477677,-0.010893711,-0.031025082,0.018399015,-0.0069835098,0.008267839,0.009266988,-0.0017749965,0.0009250887,-0.019769453,0.010626466,-0.0013845252,0.038092922,-0.045092124
43619,0.035309162,-0.022033997,-0.0070226113,0.03871905,0.0122133875,0.015715493,0.015972635,-0.009323027,0.0017918855,-0.0049841288,0.017124971,0.019529374,0.02375889,0.009062735,0.017350124,-0.002257336,0.00013881114,0.0012448023,0.004081655,-0.012893775,0.014436569,-0.00010915954,-0.0033797324,-0.0010311697,0.019259764,-0.012759487,0.013548068,0.03616569,0.013763134,-0.0009754443
43657,-0.031282756,0.0127129415,-0.009143919,0.0005606447,-0.022382775,-0.035148155,-0.022828452,0.018839542,0.0030980904,-0.029958129,0.013060524,0.018403241,-0.029900411,-0.00053994637,-0.013835055,0.0079607405,0.023654757,-0.02490461,0.03069231,0.009035348,-0.004500435,-0.009304493,-0.016284892,0.012800034,0.028123392,0.003545018,-0.0069740773,-0.004424961,-0.00018883932,-0.017200492
43658,0.006808966,0.02403667,-0.040115204,-0.008619439,0.015216348,-0.0004478985,0.0053178016,0.0062752105,0.0066097933,0.013630732,-0.019814046,0.015129753,-0.013364258,-0.012642303,-0.00049400487,-0.014586699,-0.020719187,0.004087037,-0.0034461832,-0.007922738,-0.016693803,-0.006775592,-0.0060896487,-0.028600737,-0.00943755,-0.030845793,0.0052256114,-0.02646474,0.013956237,-0.055581823
43659,0.04908691,-0.013831216,-0.00054731284,-0.0013127696,-0.0049492107,-0.0024341375,0.021080548,0.011958915,0.027589917,-0.012976277,0.013251941,0.02070488,0.0044652405,0.007838885,0.030711845,0.0041904845,-0.013839516,0.051356178,0.0070407954,-0.0077832416,0.00057225145,0.008732777,0.007993498,-0.012466389,0.017895957,0.012526676,0.023902453,0.000674715,0.0469633,-0.0042478717
47511,0.0556272,0.05592041,0.010555844,0.016908722,0.015413956,0.077430464,0.067108236,0.0012034033,-0.010966296,0.021828242,0.022201234,0.021301595,0.01668536,0.016979387,0.014382684,0.012282751,0.037303265,0.018601594,-0.004234512,0.0474028,0.040313613,0.01787186,0.015170627,0.02077786,0.013959068,0.06090039,0.020384163,-0.00015229422,0.040875096,-0.023375275
47555,0.012246951,-0.022040104,-0.01441814,-0.01130842,-0.0006186571,0.029087402,0.04713047,-0.007738968,0.000778174,-0.03081975,-0.0069852024,0.03526081,0.0062265894,0.008551634,0.020500213,0.025376698,-0.009286327,0.022791078,-0.0036436103,-0.012883033,0.013052519,-0.01749065,-0.02237893,0.012057516,0.00906993,0.015563436,0.015919559,-0.006761858,-0.0045257993,-0.0115018645
47556,-0.013768795,0.041747805,0.035143316,0.01810184,-0.002667708,0.013357018,0.007550169,0.0006088242,0.031860184,-0.032397885,-0.013126758,0.015040572,0.007421328,0.014958794,0.0023842843,-0.0024672926,0.005826658,0.014825572,0.020812752,0.00861664,0.014535054,-0.0022411665,-0.022246147,0.06005958,0.017369099,0.034204967,0.002232128,-0.0049334243,0.053146604,-0.045458514
47557,0.003360396,0.051277626,0.018261591,0.009367372,-0.0010306252,0.0077593434,0.03859294,-0.008352487,0.019588945,0.0409018,0.016376996,0.0026001118,-0.008296463,0.011730623,0.014724773,-0.016058166,-0.026326641,0.02053236,0.005419264,0.030762078,0.009106279,0.008115654,0.009472778,-0.012298435,0.01575105,0.029377123,0.0010201056,-0.0015740761,0.008192599,-0.024851447
47558,0.033503864,0.038651828,-0.013022144,0.016551612,0.02433412,-0.001765621,0.026260614,-0.034188256,0.014893666,-0.004301105,0.032927,-0.0043524713,0.02331864,0.006500911,0.027297802,0.008673532,0.009705317,-0.009081147,0.002612123,-0.014999506,-0.002970527,0.004969885,-0.007951221,0.0038812442,0.034578126,0.036676656,0.011425405,-0.019061645,0.02392161,0.0007079591
47598,-0.005861033,-0.027414339,0.012227182,0.011584643,0.011724723,0.010056998,0.009767401,-0.031632397,0.022772642,-0.0022933006,-0.0038387903,0.047401134,-0.013341912,0.0058251377,-0.016183823,0.029466724,0.00862744,-0.0033088084,0.018004252,0.015857192,-0.02470868,0.00911994,-0.013754986,0.0058968873,-0.008122314,0.026365323,-0.023183003,-0.0043518026,0.031023094,-0.024120336
47599,0.014887988,0.009270649,-0.0012840554,0.0056489618,-0.027654745,0.0067802947,0.018946057,-0.008255293,0.0024906744,0.046324104,-0.012352395,-0.0139393145,-0.0088323625,-0.0041550654,-0.021434903,-0.0514535,-0.018988915,0.0069337687,0.019360976,0.0062963427,-0.009059346,-0.0027872482,-0.014235117,-0.018514724,-0.013585103,0.01495172,0.0018513041,0.003472428,0.001997287,-0.03412552
47600,0.06760693,0.013422639,0.024575442,-0.0137032615,0.012613344,0.022389287,0.021021262,0.0046939095,0.016188487,0.0013120454,-0.015214249,0.008850718,0.008618557,0.010186574,0.011828851,-0.0007589264,-0.018826066,0.016091032,-0.0064610895,0.026926287,-0.0036352556,-0.006582392,0.017444456,0.01380757,-0.007850254,0.0035987662,0.0118489675,0.0035932548,0.022568943,-0.008576025
51538,0.05489969,0.023931108,-0.0023656501,0.0003862291,0.0013767505,0.046567228,0.01691484,-0.0338824,-0.0022290333,-0.0020062546,0.01746211,-0.011449666,0.00451646,0.015684793,0.00035376227,-0.001190694,-0.0034535981,-0.00020867276,-0.004303404,0.030141091,0.0014348222,0.030889452,0.013544709,0.022192242,0.023405278,0.02480314,-0.010764733,0.033004943,0.0146741,-0.007575141
51539,0.017831435,0.018052319,-0.020220786,0.022498988,0.003874521,0.039078385,0.03410112,-0.010420953,0.024639526,0.013351436,0.062388312,0.024196552,-0.009947971,0.010125264,0.021284744,-0.00068078254,0.025541296,0.013966691,0.019761859,0.019963456,0.028150463,-0.0041631064,0.006262876,-0.002321263,-0.0037732173,0.041186813,0.031267222,0.0134358,0.03701501,-0.012610695
51585,0.015816199,0.010450639,-0.0013334757,-0.019437648,-0.00068405893,0.042426687,0.023705244,-0.008658189,0.006494969,-0.009653143,0.008268901,0.006734382,-0.005966423,0.009977547,0.009573209,0.0003936334,0.02465006,0.031782392,0.046384554,0.043291688,0.008084939,0.021075457,0.0029911462,-0.005292568,0.031803686,0.042500045,0.0008645002,0.003950678,0.03406128,0.0028623287
51586,0.025123687,0.024904942,-0.0014436888,0.018419845,-0.03294136,0.027864493,0.032350462,-0.04104069,0.013455823,0.022883618,0.032164317,0.019400144,-0.012200077,0.016816081,0.023888119,-0.0034170125,0.02581389,0.016570518,0.023536816,0.0073606702,0.00059001596,-0.01748344,0.01441237,-0.0035034816,-0.0023444511,0.04952688,-0.000840374,0.0006735977,0.036119856,-0.016758392
51587,0.0025652426,0.026132395,0.0013754737,0.024900319,-0.0020479485,0.016642874,0.03747826,-0.014882401,0.020677887,0.012510515,0.036821816,0.015890695,-0.0040195226,-0.00088083,0.009599808,-0.0077152452,0.035132647,0.0039435336,0.02551794,-0.027071118,0.011288609,0.003972021,0.013519936,0.0066775805,0.0012754375,0.05404507,-0.014284987,0.011523935,0.019511327,0.009882676
51629,-0.027773919,-0.007760031,0.016170168,0.006590819,-0.016906833,0.0040252064,0.040236495,0.007893687,0.010397254,-0.010830081,0.008153698,-0.006048536,-0.0038335323,0.009422782,-5.8865484e-05,0.012866527,0.0271826,0.0025437716,-0.0027799308,0.02220097,-1.0801479e-05,0.014214641,0.00014137726,-0.01965947,-0.036083255,0.032627635,-0.022331672,0.01338172,-0.007071313,0.010653787
51630,-0.00043278115,0.022108525,-0.0045499946,0.012187402,-0.025844619,-0.006765744,0.012465519,-0.011169657,-0.002437522,0.009093903,-0.0019047394,-0.00601589,-0.02713383,-0.005416168,0.021382695,-0.016450115,-5.8424503e-05,0.00037771402,0.017050035,0.0012440841,-0.014166489,-0.021288604,0.0143006975,0.0048642172,-0.016638085,0.03573241,-0.0010998271,0.006107766,0.030136192,-0.0057261027
51631,0.014345393,0.018629612,0.023733504,0.007826333,0.0011323983,0.01609526,0.033343375,-0.009276806,-0.013822894,0.0023829753,0.042090446,-0.024827495,-0.0074866503,0.011374139,-0.004716256,0.004439132,0.00956001,0.005154796,0.044418763,-0.016456418,0.0010683284,-0.0007204207,0.01289137,0.014734763,0.022636319,0.035088766,-0.007251423,-0.013525863,0.0048656994,-0.004126442
55650,0.017164132,-0.009123638,-0.021572905,-0.014836761,-0.00086759124,0.02387762,-0.021719113,-0.015101823,0.004635884,-0.006391639,0.020053664,0.0012577288,-0.006866588,-0.0038267903,0.0066330414,-0.006848424,-0.034324817,0.0051498846,-0.0013582738,-0.010077058,0.008735022,0.008599703,0.009958391,0.0080920225,-0.018797064,-0.0069251857,0.0016103849,-0.024684945,0.034880165,-0.0060777473
